Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCX29,OUT027,3796.229339
NCT42,OUT013,2373.873248
DRN59,OUT035,715.1338465
FDI44,OUT035,1183.85227
FDA45,OUT049,2954.917356
FDP31,OUT045,951.0626882
FDY01,OUT046,1903.315087
FDT09,OUT018,1749.889832
DRH03,OUT027,2414.074125
FDA36,OUT018,2606.666833
NCF31,OUT017,2486.888801
FDG14,OUT049,2419.11773
FDG28,OUT027,6115.894369
FDU14,OUT049,3976.70394
FDY47,OUT019,293.6164239
FDI56,OUT049,1407.419727
DRD01,OUT013,812.0665528
FDM22,OUT046,857.9833377
FDH33,OUT013,623.4052436
DRZ24,OUT013,1826.254951
NCQ38,OUT046,1610.818945
FDO16,OUT027,2118.544759
FDU07,OUT027,3927.737064
NCB07,OUT013,3227.033838
FDU48,OUT045,1912.548806
NCM43,OUT045,2418.213691
FDR31,OUT010,321.519354
DRK49,OUT018,524.5350219
NCI30,OUT010,565.9273505
DRD60,OUT017,2933.506257
NCG19,OUT046,3422.295752
FDH12,OUT035,1611.58172
FDM32,OUT035,1386.184902
FDM27,OUT035,2616.650545
NCU53,OUT027,4367.225597
NCQ18,OUT046,1518.610046
FDS10,OUT013,2946.429545
FDB33,OUT027,4147.704847
FDI12,OUT013,1240.680677
NCW42,OUT013,3696.504259
NCC06,OUT018,1748.350081
FDW02,OUT017,2065.217185
NCD43,OUT017,1653.177644
FDM57,OUT018,1051.169175
FDA58,OUT017,3695.108239
FDK56,OUT046,2801.622292
FDP52,OUT045,3768.145016
FDW20,OUT018,1678.042276
FDS52,OUT049,1578.345512
NCT29,OUT018,1615.848281
NCL54,OUT013,2899.78591
FDC05,OUT045,3248.014723
FDF34,OUT035,3371.245443
FDP03,OUT027,3335.492138
FDD32,OUT010,242.4312457
FDZ10,OUT045,1842.688139
FDZ40,OUT035,822.6010132
FDD51,OUT018,556.6547957
NCY30,OUT019,383.483363
FDP58,OUT017,3461.539435
FDV49,OUT017,3977.618087
FDY24,OUT019,215.8951802
NCO55,OUT017,1702.486409
FDR13,OUT017,1901.428334
FDS51,OUT017,957.4484282
FDP26,OUT045,1507.382098
NCB54,OUT027,3376.152278
FDF32,OUT017,3173.578552
FDN31,OUT018,2641.117706
DRM48,OUT017,569.9309319
FDN20,OUT049,2797.912465
DRL01,OUT046,3875.740127
FDV56,OUT049,1615.521215
DRH13,OUT027,2773.577039
FDA03,OUT017,2414.342274
FDF47,OUT027,5678.992705
FDX32,OUT046,2473.358868
FDX57,OUT049,1430.209163
NCA30,OUT045,2804.825645
FDO49,OUT013,716.2221442
FDL04,OUT019,269.9504191
DRM48,OUT035,609.1769847
FDR16,OUT013,3337.799502
NCC19,OUT018,2690.091832
NCE42,OUT045,3434.298476
FDY24,OUT017,854.3071143
FDH19,OUT049,2908.119659
FDJ46,OUT013,2840.546631
FDN45,OUT010,500.9478568
FDY08,OUT035,2316.107992
FDZ37,OUT035,1378.209755
NCT30,OUT045,768.6328562
DRY23,OUT018,525.7846221
NCZ30,OUT018,1643.954495
FDC44,OUT018,1518.545975
FDB45,OUT035,1604.707814
FDY04,OUT013,2527.719862
FDM27,OUT046,2696.037171
FDZ43,OUT017,3874.911888
FDT39,OUT019,324.0902164
NCC06,OUT019,296.2683771
FDL15,OUT027,4044.623811
FDL57,OUT017,4055.051923
FDU08,OUT046,1511.541145
FDK40,OUT017,3975.528003
FDQ12,OUT010,514.7761218
FDS48,OUT017,2449.766246
FDP09,OUT045,3117.702947
FDW21,OUT049,1473.210283
FDY25,OUT035,3035.247672
DRE13,OUT017,1337.329092
FDV43,OUT019,211.9852329
FDD22,OUT045,1609.018114
FDM46,OUT019,256.4627596
NCO30,OUT010,395.4814391
FDM25,OUT046,2956.595002
NCN41,OUT049,1975.442933
FDU24,OUT045,1392.349488
FDZ50,OUT046,3126.368567
FDP45,OUT013,3901.190958
NCM54,OUT045,1822.629196
FDW10,OUT019,374.9316258
FDP20,OUT017,2056.309077
FDK32,OUT046,2556.102261
FDN52,OUT049,1283.914935
FDM58,OUT045,1696.959763
FDZ46,OUT027,2860.251964
NCA18,OUT018,1575.416302
FDD35,OUT046,1865.240833
NCK31,OUT035,760.9080477
FDI40,OUT027,2665.012383
FDT50,OUT019,253.1022015
NCT06,OUT046,2512.046081
FDT31,OUT035,3165.039199
FDT45,OUT049,820.2644644
FDT13,OUT045,2752.974473
FDO50,OUT045,1314.227253
NCU18,OUT010,310.4952734
NCR54,OUT049,3231.4579
NCO18,OUT018,2486.988481
FDU09,OUT045,811.8854642
FDT13,OUT018,2618.300734
FDE09,OUT046,1717.763551
NCK53,OUT019,265.4314367
FDG45,OUT049,3507.541082
DRH15,OUT035,704.2124483
FDO21,OUT019,497.009842
FDD14,OUT027,4829.079069
FDC09,OUT046,1677.81494
FDH45,OUT027,1161.626035
FDV32,OUT046,1014.53603
FDG12,OUT035,1934.977386
FDS32,OUT013,2133.23034
NCL55,OUT018,3402.972228
DRE01,OUT035,4159.602817
DRE15,OUT049,1185.807019
NCL42,OUT045,3578.110602
FDP31,OUT013,917.0194572
FDN33,OUT018,1195.977426
FDZ59,OUT046,2801.307676
FDE45,OUT010,380.5946765
FDJ07,OUT013,1825.73574
FDQ45,OUT018,2457.481669
FDM33,OUT027,5590.468683
FDO15,OUT010,235.4230349
FDM46,OUT013,1376.573703
FDR03,OUT045,3371.218894
FDY49,OUT018,2217.907819
FDQ60,OUT045,1833.764884
FDW10,OUT049,2919.385758
FDO51,OUT049,653.9781931
FDJ40,OUT018,1409.311692
FDS20,OUT018,2543.577986
FDU45,OUT013,1665.856484
FDV02,OUT035,2810.445528
FDN09,OUT046,3495.037767
NCM55,OUT027,4888.081839
FDN23,OUT018,1916.650319
FDY31,OUT010,317.4392136
FDW03,OUT010,267.7391194
FDD14,OUT046,2777.281573
FDV23,OUT017,2018.775573
DRI03,OUT045,2580.191342
FDN13,OUT035,1514.042093
FDF45,OUT027,1568.675467
FDU46,OUT035,1391.763911
FDB57,OUT049,3663.170325
FDV12,OUT049,1483.511793
FDQ58,OUT013,2425.883771
NCA18,OUT017,1851.961199
FDH52,OUT049,878.7798841
FDM24,OUT018,1993.553644
NCP43,OUT027,4754.875597
NCO18,OUT019,377.1729673
FDM32,OUT017,1431.745001
NCL07,OUT017,596.3942935
FDK03,OUT013,3924.026067
FDP59,OUT017,1647.323584
FDQ24,OUT049,3982.07376
FDQ16,OUT018,1462.447769
FDU44,OUT013,2483.855298
FDH28,OUT010,209.2181592
FDV28,OUT019,206.7033551
FDM22,OUT045,777.04136
FDR56,OUT046,3328.497959
FDV39,OUT049,3258.818474
FDU37,OUT019,236.7436708
FDQ11,OUT010,603.1501102
FDX02,OUT045,3276.280973
NCS42,OUT018,1213.015537
FDY57,OUT027,2501.985353
FDB21,OUT049,3883.251854
FDE28,OUT017,3734.307913
FDQ55,OUT017,1841.746062
FDA48,OUT049,3638.539849
FDZ19,OUT045,2559.884866
NCC43,OUT045,3642.293738
NCV18,OUT046,1259.753325
NCA42,OUT018,2205.936635
FDY45,OUT046,3631.637956
NCC30,OUT045,2627.833907
FDM57,OUT013,1233.062307
FDL09,OUT010,361.8058039
FDB09,OUT027,3252.314749
FDT44,OUT035,1856.09579
NCT06,OUT027,4328.241728
FDX26,OUT049,3040.127284
FDK32,OUT013,2353.902878
DRA12,OUT046,2186.700309
FDO46,OUT010,406.5410055
FDE52,OUT013,1252.49618
NCH42,OUT045,3365.346423
FDV08,OUT035,666.825769
FDB47,OUT018,2930.60701
FDC28,OUT010,268.4047481
FDD22,OUT046,1741.224564
FDS07,OUT027,2984.454274
DRI13,OUT045,3185.81032
FDG32,OUT018,3085.3546
FDU14,OUT017,3841.5943
FDD28,OUT019,224.7077146
NCP41,OUT017,1742.817683
FDS08,OUT049,2900.68804
FDX47,OUT045,2532.041528
FDC53,OUT019,264.701688
FDQ19,OUT035,4119.929157
FDL14,OUT045,2484.452706
FDM33,OUT019,484.6280535
FDA51,OUT045,1735.532484
FDZ27,OUT018,616.4651284
FDT04,OUT046,689.3545329
DRC13,OUT049,1928.967834
FDR16,OUT027,5587.950249
FDQ03,OUT027,5973.96934
FDE38,OUT035,2779.101379
DRH23,OUT027,1412.583119
FDT11,OUT019,398.5783793
FDD09,OUT035,3008.389485
FDR40,OUT045,1205.342378
FDX07,OUT017,3056.327753
FDR07,OUT035,1474.764533
FDA51,OUT017,1858.907946
FDT59,OUT019,511.355186
FDF20,OUT017,3143.391611
FDR13,OUT045,1763.670597
FDY26,OUT049,3469.656348
FDW04,OUT017,2135.5574
FDK52,OUT017,3575.635339
FDN60,OUT049,2589.871955
FDM09,OUT019,361.6251232
FDP46,OUT049,1364.836069
FDB50,OUT019,242.9952722
NCQ29,OUT049,4066.184364
FDP16,OUT027,6036.829633
FDX33,OUT018,2146.120108
FDP07,OUT010,420.4357661
FDN22,OUT046,4099.874612
FDF39,OUT049,4196.928917
FDS21,OUT017,945.8126335
NCM42,OUT013,1627.282693
FDK50,OUT019,352.7136356
DRF13,OUT027,3865.435752
FDH35,OUT018,2278.402277
FDP60,OUT018,1313.332621
DRJ49,OUT027,3402.149859
NCT42,OUT019,327.3642944
FDE38,OUT049,2774.309332
FDI04,OUT049,3275.425326
NCH54,OUT045,2307.049568
FDT56,OUT049,844.9395787
DRD15,OUT018,3197.040315
FDV58,OUT013,3215.031701
FDP21,OUT049,3073.796039
FDH05,OUT013,3645.017526
FDR10,OUT027,4256.840186
NCP06,OUT045,2176.979641
FDF33,OUT049,1683.988256
DRK37,OUT013,3115.472039
DRH49,OUT045,1223.017305
FDT58,OUT013,2730.515619
FDD41,OUT018,1346.521334
FDP40,OUT018,1431.371999
FDM51,OUT027,2696.605124
FDO45,OUT010,245.5399029
FDW33,OUT010,263.6924957
FDY24,OUT045,780.8279919
FDB10,OUT010,541.8558137
FDM40,OUT035,2279.7743
NCI06,OUT017,2928.903336
FDW12,OUT019,312.2633243
FDX48,OUT027,4172.345395
NCW05,OUT027,2755.832314
FDX27,OUT017,1522.877468
DRM37,OUT045,2918.618196
FDA38,OUT045,3511.033745
FDR36,OUT046,629.2733905
FDZ45,OUT046,2984.548765
FDG05,OUT017,2637.856924
FDK28,OUT013,4268.935334
FDV47,OUT045,1243.140333
FDN21,OUT045,2347.539616
FDP20,OUT027,3319.392484
FDI35,OUT045,2672.232176
DRY23,OUT013,638.9020309
FDA56,OUT017,1968.122137
FDB09,OUT013,1911.88733
NCO26,OUT027,3043.29891
FDQ49,OUT018,2082.838775
FDI52,OUT027,3185.154233
FDZ44,OUT027,3046.991086
FDZ09,OUT018,2284.808627
FDY03,OUT049,1719.013311
NCG42,OUT017,2090.934989
DRI13,OUT027,5568.652262
FDQ32,OUT013,1886.089551
FDW16,OUT035,1449.545692
FDU27,OUT046,735.3138483
FDR28,OUT010,354.1614649
FDQ49,OUT010,345.4600612
FDS37,OUT046,1777.926878
FDW26,OUT018,2893.502535
FDX12,OUT018,3110.408352
NCP06,OUT013,2418.484489
FDW45,OUT010,317.6041379
NCN30,OUT049,1477.502691
FDN24,OUT049,820.2644644
NCL41,OUT027,836.6136929
FDR02,OUT019,274.9081179
FDD09,OUT010,386.3073992
FDS33,OUT010,245.705852
FDU22,OUT045,1724.726039
FDI53,OUT013,2515.803118
DRH01,OUT049,2913.218524
FDX32,OUT013,2181.025516
NCP30,OUT018,508.6282399
FDB60,OUT045,2883.845481
FDB14,OUT049,1378.116389
NCP02,OUT035,876.0543851
FDJ10,OUT017,2322.384326
FDG34,OUT046,1818.659543
NCB18,OUT017,1376.094176
FDM16,OUT049,1069.980918
FDW25,OUT018,1091.358099
FDB35,OUT010,250.5546954
DRN11,OUT013,2279.266425
FDF41,OUT019,569.3541835
FDH16,OUT045,1275.990789
NCQ50,OUT018,2954.546111
DRH23,OUT018,724.7430997
DRJ37,OUT013,2440.193826
DRJ24,OUT027,4842.680278
FDY16,OUT035,3126.717308
FDQ27,OUT045,1595.003756
FDZ33,OUT045,2164.241613
FDF29,OUT045,2057.861483
FDA08,OUT049,2638.960962
FDG31,OUT046,1016.408471
FDE34,OUT019,391.3020744
NCR30,OUT027,1843.585185
FDV33,OUT035,4369.04624
DRZ24,OUT018,1621.901596
NCL54,OUT035,2889.32837
FDR12,OUT049,2817.709683
NCC54,OUT046,3491.308139
DRN59,OUT013,671.7152512
FDX50,OUT019,275.8812782
FDV31,OUT027,4687.840042
NCA29,OUT027,4547.176145
FDW60,OUT049,2889.807963
FDX08,OUT017,2953.085862
DRD49,OUT013,3940.408072
FDD33,OUT046,3377.602441
FDW35,OUT013,623.4391249
FDJ36,OUT017,1659.061024
FDV51,OUT035,2752.119989
FDW36,OUT046,1629.658249
FDH35,OUT046,2518.868262
NCS30,OUT027,3424.458405
FDN49,OUT017,602.3739091
FDL08,OUT018,3348.80439
FDI09,OUT013,3748.013018
FDP19,OUT018,1760.906428
FDU21,OUT010,206.5263385
NCP41,OUT045,1549.543562
FDY10,OUT013,1722.582295
FDP12,OUT018,460.2217806
NCN26,OUT049,1854.100388
FDK44,OUT013,2860.343227
FDC28,OUT049,1730.865767
FDJ41,OUT027,6270.842326
NCT29,OUT035,1941.371504
NCH42,OUT019,505.7261425
FDU60,OUT018,2227.331562
FDS02,OUT045,3161.741481
FDC51,OUT046,2047.177508
FDU03,OUT013,2856.368357
FDX39,OUT045,3469.492102
NCY05,OUT010,208.01962
NCL06,OUT027,6232.158583
FDD32,OUT035,1272.701824
NCN41,OUT045,1771.786893
NCX53,OUT049,2310.582759
FDU57,OUT019,322.6247745
FDQ23,OUT046,1592.596538
FDQ52,OUT045,3602.506583
FDC14,OUT045,589.2983441
FDY09,OUT035,2952.826214
FDQ28,OUT045,2512.823167
FDV25,OUT046,3261.075277
FDJ07,OUT035,1808.754151
DRB25,OUT049,1677.573161
FDK52,OUT019,496.8438322
FDY52,OUT027,1566.965778
FDB28,OUT046,2971.889534
FDT36,OUT035,595.0142808
FDV25,OUT017,3515.790862
NCN07,OUT027,3409.491109
FDC57,OUT017,3211.555096
FDQ03,OUT018,3066.524527
FDU23,OUT017,2711.483741
NCX41,OUT035,3626.696426
NCD06,OUT035,725.3170476
FDW08,OUT045,1536.09817
NCU29,OUT017,2347.708442
NCE06,OUT013,2609.581313
FDV52,OUT010,282.2083601
FDB02,OUT017,2944.457393
NCR18,OUT045,719.7046075
FDK16,OUT049,1475.255302
NCQ29,OUT010,615.4815548
FDZ01,OUT019,259.1677468
FDW27,OUT035,2634.199914
FDD17,OUT018,3260.058551
FDW39,OUT013,2755.675794
DRH59,OUT045,1070.960136
FDS52,OUT013,1532.241043
FDU40,OUT027,5087.079984
NCF54,OUT013,2844.935814
FDH46,OUT045,1554.181696
NCP14,OUT049,1634.492188
FDH50,OUT049,3040.716405
DRF15,OUT010,331.7916856
FDV27,OUT027,2302.788832
NCJ06,OUT049,1927.20564
FDN02,OUT018,2862.74148
FDQ51,OUT049,671.2710444
FDQ07,OUT017,3640.630916
FDS45,OUT049,1578.88499
NCJ06,OUT045,1748.006015
FDD36,OUT035,1826.65682
FDY25,OUT045,2684.845478
FDU52,OUT046,2367.447364
DRK47,OUT017,3577.654448
NCL30,OUT017,2065.384313
FDN22,OUT035,4280.199229
NCF30,OUT027,3292.381544
FDK03,OUT035,4342.52786
FDT45,OUT017,850.2229408
NCC54,OUT027,5948.913628
FDP08,OUT018,2595.963446
FDU44,OUT046,2773.232589
DRG39,OUT035,804.7843916
FDU32,OUT049,1958.754935
FDY27,OUT049,2959.931447
NCP54,OUT013,1909.509878
NCZ41,OUT049,2039.985459
DRL49,OUT013,2283.656361
FDI05,OUT018,962.8075954
FDY56,OUT045,3698.550403
DRC13,OUT013,1874.865805
NCV29,OUT017,2908.770108
FDR24,OUT049,1304.632916
FDZ34,OUT018,2672.112157
FDP37,OUT035,1995.604368
FDX08,OUT027,4749.154421
FDS57,OUT045,2054.449407
NCG18,OUT049,1613.626442
FDK25,OUT018,2252.140677
FDH53,OUT049,1174.950357
DRI59,OUT018,3085.739997
FDA52,OUT046,3016.028474
FDT20,OUT010,208.7613783
FDE36,OUT019,345.3501845
FDI24,OUT017,2833.057065
FDB28,OUT018,2779.68038
FDV11,OUT017,2948.879687
FDP01,OUT046,2611.722376
FDD34,OUT027,4261.195258
FDJ50,OUT027,1289.440467
FDZ44,OUT013,1828.704606
DRO59,OUT035,1134.095534
DRB48,OUT045,576.7029399
FDR21,OUT018,2444.762033
NCE42,OUT010,532.8596081
FDO23,OUT046,1431.960492
NCE30,OUT018,2952.859227
FDQ22,OUT035,613.9074731
FDY01,OUT045,1773.098096
FDS08,OUT017,2881.766528
FDG28,OUT018,3164.384379
FDQ51,OUT018,600.8382726
FDB05,OUT017,3833.31835
FDO56,OUT049,1780.833419
FDE02,OUT018,1203.810192
FDN45,OUT017,3529.313471
FDS09,OUT013,712.2865908
NCA54,OUT018,2532.228834
FDP09,OUT010,466.4103053
FDC53,OUT045,1426.423798
NCM55,OUT017,3016.706747
FDL09,OUT018,2253.951865
FDA11,OUT019,257.0164728
FDA50,OUT045,1363.438014
FDC23,OUT017,2899.43033
FDE22,OUT049,2620.460501
FDD23,OUT046,3178.524591
NCA29,OUT049,2860.957551
FDK38,OUT046,2249.432687
DRC13,OUT046,2021.621524
NCP43,OUT049,2970.565048
FDX28,OUT049,1566.271015
FDF08,OUT049,1319.50305
FDZ33,OUT046,2285.996594
FDD10,OUT049,2922.360003
FDO58,OUT017,2635.838088
FDI50,OUT017,3737.754516
FDO58,OUT045,2427.913321
FDX08,OUT013,2981.424777
NCK17,OUT010,209.9689842
FDF39,OUT035,4423.371963
FDU45,OUT010,274.560216
NCJ18,OUT018,1582.366592
DRC27,OUT019,562.682068
DRC25,OUT035,1280.838733
FDU59,OUT035,2641.768068
FDU28,OUT035,3240.599089
NCP30,OUT046,685.4351073
FDB39,OUT018,698.5363368
FDE41,OUT013,1249.487798
DRH11,OUT010,218.7893941
FDA58,OUT045,3441.970066
FDU50,OUT046,1905.757933
FDM34,OUT013,2029.20419
FDM44,OUT027,2613.567233
FDR39,OUT045,2703.44017
FDM25,OUT045,2857.07555
FDQ49,OUT049,2515.011139
DRH25,OUT018,662.9081646
FDM09,OUT027,4592.403509
FDL44,OUT019,348.6535634
NCR42,OUT018,422.4361032
DRL59,OUT046,842.5406345
FDX43,OUT013,2748.529412
DRK47,OUT010,507.2430811
FDU48,OUT018,1795.088752
FDY12,OUT045,725.4185141
NCN43,OUT018,1656.95072
NCM55,OUT018,2570.006105
FDQ21,OUT027,3206.687625
FDX13,OUT035,4277.619275
NCK30,OUT027,6148.76542
FDG20,OUT049,2863.756284
DRG27,OUT017,626.0053217
FDY14,OUT018,3530.683816
FDP59,OUT035,1647.979558
FDU60,OUT017,2819.149808
NCC18,OUT019,368.9104835
DRJ39,OUT017,3464.155396
FDS07,OUT049,1807.377953
FDM08,OUT027,5736.659837
FDP51,OUT045,1862.250723
FDU16,OUT035,1303.819811
FDH12,OUT013,1615.725029
DRE48,OUT010,421.5944103
